Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,log_rtn,ma14,rsi14,ma50,rsi50,ma200,rsi200,vol_1d_change,vol_1d_change_ma10,1d_future_log_rtn,log_rtn_lag_0,log_rtn_lag_1,log_rtn_lag_2,log_rtn_lag_3,log_rtn_lag_4,log_rtn_lag_5,log_rtn_lag_6,log_rtn_lag_7,log_rtn_lag_8,log_rtn_lag_9,log_rtn_lag_10,log_rtn_lag_11,log_rtn_lag_12,log_rtn_lag_13,log_rtn_lag_14,month,month_sin,month_cos,1d_future_month,1d_future_month_sin,1d_future_month_cos
2000-01-03,59.03,59.12,53.44,55.5,1199600.0,0.0,1.0,46.614284109445,46.685354507037,42.200022747904,43.826745181674,1199600.0,,,,,,,,,,-0.049682454033557484,,,,,,,,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-04,54.63,55.0,52.5,52.81,816100.0,0.0,1.0,43.139731338285,43.431909639497,41.45773192861,41.70252996476,816100.0,-0.049682454033557484,,,,,,,-0.3852065503996568,,0.0047227819907609036,-0.049682454033557484,,,,,,,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-05,52.75,53.25,51.06,53.06,1124700.0,0.0,1.0,41.655149699699,42.049985241876,40.32060556714,41.899947735849,1124700.0,0.0047227819907609036,,,,,,,0.3207347159347788,,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-06,52.75,54.94,52.38,53.5,1112100.0,0.0,1.0,41.655149699699,43.384529374435,41.362971398488,42.247403012965,1112100.0,0.008258305192368077,,,,,,,-0.011266213585179803,,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-07,53.75,54.25,53.31,53.63,782000.0,0.0,1.0,42.444820784054,42.839656326231,42.097365506938,42.350060253931,782000.0,0.0024269590928709963,,,,,,,-0.35215065827948516,,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-10,53.69,53.75,51.5,52.66,408800.0,0.0,1.0,42.397440518992,42.444820784054,40.668060844256,41.584079302107,408800.0,-0.01825245892667408,,,,,,,-0.6486287016558163,,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-11,52.69,53.0,49.88,49.88,987800.0,0.0,1.0,41.607769434638,41.852567470788,39.388793687602,39.388793687602,987800.0,-0.05423603325631585,,,,,,,0.8822542092170298,,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-12,50.5,50.75,49.0,50.31,794300.0,0.0,1.0,39.878389759901,40.07580753099,38.69388313337,39.728352253874,794300.0,0.008583743691380648,,,,,,,-0.2180190244674381,,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-13,51.06,55.5,51.0,54.69,458700.0,0.0,1.0,40.32060556714,43.826745181674,40.273225302079,43.187111603347,458700.0,0.0834770128554626,,,,,,,-0.5490648220359601,,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-14,56.0,56.75,54.94,55.63,596500.0,0.0,1.0,44.221580723851,44.813834037117,43.384529374435,43.92940242264,596500.0,0.01704174672851563,,,,,,,0.2626828399348445,,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
